"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-11-13","19,830.00","19,698.00","19,839.00","19,584.00","2.68B","-0.09%"
"2024-11-12","19,846.88","20,334.09","20,517.24","19,761.31","4.32B","-2.84%"
"2024-11-11","20,426.93","20,258.14","20,505.01","20,151.38","3.65B","-1.45%"
"2024-11-8","20,728.19","21,199.96","21,355.44","20,705.12","4.15B","-1.07%"
"2024-11-7","20,953.34","20,386.36","20,986.31","20,370.44","4.32B","2.02%"
"2024-11-6","20,538.38","20,791.80","20,859.66","20,361.92","3.90B","-2.23%"
"2024-11-5","21,006.97","20,409.94","21,006.97","20,409.94","3.15B","2.14%"
"2024-11-4","20,567.52","20,584.45","20,633.58","20,446.26","2.46B","0.30%"
"2024-11-1","20,506.43","20,427.88","20,667.22","20,353.34","3.28B","0.93%"
"2024-10-31","20,317.33","20,414.20","20,553.30","20,317.33","3.24B","-0.31%"
"2024-10-30","20,380.64","20,586.55","20,681.52","20,270.07","3.63B","-1.55%"
"2024-10-29","20,701.14","20,729.98","20,890.08","20,563.74","3.14B","0.49%"
"2024-10-28","20,599.36","20,592.74","20,669.41","20,428.94","2.98B","0.04%"
"2024-10-25","20,590.15","20,521.95","20,784.47","20,521.95","2.98B","0.49%"
"2024-10-24","20,489.62","20,576.05","20,685.46","20,448.46","2.73B","-1.30%"
"2024-10-23","20,760.15","20,525.44","20,942.26","20,448.84","3.54B","1.27%"
"2024-10-22","20,498.95","20,433.49","20,629.48","20,380.04","2.56B","0.10%"
"2024-10-21","20,478.46","20,730.95","20,845.57","20,423.09","3.78B","-1.57%"
"2024-10-18","20,804.11","20,106.65","20,952.99","20,058.67","4.59B","3.61%"
"2024-10-17","20,079.10","20,471.99","20,783.35","19,977.35","3.65B","-1.02%"
"2024-10-16","20,286.85","20,144.75","20,548.18","20,131.34","4.16B","-0.16%"
"2024-10-15","20,318.79","21,046.19","21,095.01","20,154.71","4.91B","-3.67%"
"2024-10-14","21,092.87","21,228.65","21,348.86","20,693.75","5.74B","-0.75%"